0,00;0,00
-5,00;70,00
-17,00;69,00
-19,00;85,00
9,00;99,00
15,00;82,00
-21,00;102,00
-16,00;68,00
15,00;72,00
12,00;78,00
1,00;102,00
15,00;91,00
9,00;83,00
2,00;82,00
-7,00;76,00
-17,00;79,00
12,00;70,00
-18,00;99,00
-9,00;104,00
9,00;-24,00
23,00;-34,00
9,00;-44,00
12,00;-30,00
16,00;-36,00
40,00;-21,00
39,00;-15,00
42,00;-6,00
29,00;-43,00
20,00;-8,00
24,00;-38,00
47,00;-15,00
34,00;-28,00
41,00;-39,00
39,00;-30,00
23,00;-34,00
38,00;-8,00
20,00;-40,00
21,00;-9,00
46,00;-13,00
90,00;67,00
70,00;39,00
78,00;73,00
49,00;47,00
45,00;75,00
86,00;61,00
86,00;59,00
54,00;65,00
46,00;38,00
63,00;68,00
55,00;74,00
62,00;69,00
58,00;70,00
25,00;17,00
7,00;1,00
8,00;6,00
12,00;-2,00
14,00;-7,00
13,00;-1,00
8,00;12,00
25,00;13,00
11,00;3,00
15,00;-7,00
4,00;-6,00
18,00;-4,00
10,00;-1,00
16,00;-10,00
96,00;5,00
60,00;28,00
75,00;-19,00
107,00;5,00
70,00;-4,00
110,00;-2,00
90,00;3,00
80,00;-17,00
59,00;-21,00
83,00;14,00
-56,00;62,00
-39,00;71,00
-40,00;72,00
-41,00;77,00
-37,00;78,00
-31,00;70,00
-52,00;81,00
-50,00;81,00
-41,00;77,00
-35,00;85,00
-41,00;71,00
-57,00;72,00
-47,00;74,00
-56,00;70,00
-32,00;82,00
-50,00;69,00
-57,00;86,00
-33,00;79,00
-64,00;71,00
-58,00;56,00
-74,00;69,00
-65,00;57,00
1,00;56,00
12,00;41,00
24,00;53,00
